variable_name,description,category,wave,n_nonmissing,n_missing,dtype
kidneye_wave4,"Kidney disease (1=self-reported diagnosis, 0=no)",Disease History,Wave 4,19794,6079,Continuous (float)
digeste_wave4,"Digestive disease (1=self-reported diagnosis, 0=no)",Disease History,Wave 4,19785,6088,Continuous (float)
psyche_wave4,"Psychiatric/emotional problems (1=self-reported diagnosis, 0=no)",Disease History,Wave 4,19797,6076,Continuous (float)
memrye_wave4,"Memory-related disease (1=self-reported diagnosis, 0=no)",Disease History,Wave 4,19796,6077,Continuous (float)
arthre_wave4,"Arthritis/rheumatism (1=self-reported diagnosis, 0=no)",Disease History,Wave 4,19779,6094,Continuous (float)
asthmae_wave4,"Asthma (1=self-reported diagnosis, 0=no)",Disease History,Wave 4,19797,6076,Continuous (float)
doctor_time_wave4,Number of outpatient visits (past month),Healthcare Utilization,Wave 4,19524,6349,Continuous (float)
hospital_time_wave4,Number of inpatient admissions (past year),Healthcare Utilization,Wave 4,19764,6109,Continuous (float)
da042s1_wave4,,Healthcare Utilization,Wave 4,19737,6136,Continuous (float)
da042s2_wave4,,Healthcare Utilization,Wave 4,19737,6136,Continuous (float)
da042s3_wave4,,Healthcare Utilization,Wave 4,19737,6136,Continuous (float)
da042s4_wave4,,Healthcare Utilization,Wave 4,19737,6136,Continuous (float)
da042s5_wave4,,Healthcare Utilization,Wave 4,19737,6136,Continuous (float)
da042s6_wave4,,Healthcare Utilization,Wave 4,19737,6136,Continuous (float)
da042s7_wave4,,Healthcare Utilization,Wave 4,19737,6136,Continuous (float)
da042s8_wave4,,Healthcare Utilization,Wave 4,19737,6136,Continuous (float)
da042s9_wave4,,Healthcare Utilization,Wave 4,19737,6136,Continuous (float)
da042s10_wave4,,Healthcare Utilization,Wave 4,19737,6136,Continuous (float)
da042s11_wave4,,Healthcare Utilization,Wave 4,19737,6136,Continuous (float)
da042s12_wave4,,Healthcare Utilization,Wave 4,19737,6136,Continuous (float)
da042s13_wave4,,Healthcare Utilization,Wave 4,19737,6136,Continuous (float)
da042s14_wave4,,Healthcare Utilization,Wave 4,19737,6136,Continuous (float)
da042s15_wave4,,Healthcare Utilization,Wave 4,19737,6136,Continuous (float)
